drug_name,recall_initiation_date,reason_for_recall,status,recalled
medroxyprogesterone acetate,20130613,Failed Stability Specifications: Out of specification results for particle size were obtained at the 60 month test point.,Terminated,1
ketamine hcl,20150717,Stability Data Does Not Support Expiry: potential loss of potency in drugs packaged and stored in syringes.,Terminated,1
testosterone cypionate 200mg,20211012,Lack of assurance of sterility,Terminated,1
hydromorphone hcl,20150717,Stability Data Does Not Support Expiry: potential loss of potency in drugs packaged and stored in syringes.,Terminated,1
podophyllum 40,20151019,Lack of Assurance of Sterility,Terminated,1
fentanyl,20230921,Lack of assurance of sterility:,Terminated,1
medically minded hand sanitizer gel,20210512,"Chemical Contamination: FDA analysis found 1 lot of MEDICALLY MINDED Hand Sanitizer Gel, ANTIMICROBIAL FORMULA (ethyl alcohol 70%) to be below the label claim for ethanol content and to contain methanol.",Ongoing,1
atomoxetine capsules,20250129,CGMP Deviations: presence of N-Nitroso Atomoxetine Impurity above the FDA recommended limit.,Ongoing,1
irbesartan and hydrochlorothiazide tablets,20190118,"CGMP Deviations: FDA lab confirmed presence an impurity, N-nitrosodimethylamine (NDEA) contained in the API used to manufacture the product above the interim acceptable daily intake level of 0.083 parts per million.",Completed,1
0,20151110,Lack of Assurance of Sterility,Terminated,1
72hp maximum potency male sexual enhancement,20130814,Marketed without an Approved NDA/ANDA: products were found to contain undeclared sildenafil,Terminated,1
norethindrone acetate and ethinyl estradiol tablets,20170130,Chemical Contamination: out of specification results for impurities were found to be the result of contamination of product from vapors associated with paint thinner used in repair of the manufacturing room.,Terminated,1
hydromorphone in 0,20230921,Lack of assurance of sterility:,Terminated,1
lodenafil carbonate active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
shiseido future solution lx universal defense spf 50,20171214,GMP Deviations: manufacturing of API material did not meet GMP and quality requirements.,Terminated,1
glipizide,20241217,Failed Dissolution Specifications:,Ongoing,1
acyclovir various strengths in normal saline,20141226,Lack of sterility assurance.,Terminated,1
cardioplegia solution,20230428,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Completed,1
ibuprofen tablets usp,20180110,CGMP deviations: Ibuprofen is being recalled in response to previous recall,Terminated,1
levothyroxine sodium,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
medically minded hand sanitizer gel,20210512,CGMP Deviations:  lots and products of hand sanitizer are being recalled because they were manufactured under the same conditions as the product lot found to contain methanol.,Ongoing,1
hydromorphone hcl in sodium chloride 0,20171227,Lack of sterility assurance.,Terminated,1
infants,20181126,Superpotent Drug: recalled lots may have higher concentration of ibuprofen.,Terminated,1
daytrana,20140213,"Defective Delivery System: Out of Specification (OOS) results for the z-statistic value, which relates to the patients and caregiver ability to remove the release liner from the patch adhesive prior to administration, were obtained.",Terminated,1
metronidazole 500mg 100ml,20221227,Lack of sterility assurance,Completed,1
desoximetasone cream usp,20160913,Failed Stability Specifications: The subject lots exhibited OOS results for Homogeneity test (Moderate separation).,Terminated,1
dermatoxin,20200324,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,Terminated,1
fluorouracil,20200406,Lack of Processing Control,Terminated,1
carisoprodol tablets,20131223,Presence of Foreign Substance; metal particulates were visually observed in the tablets.,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
mic,20220826,Lack of Assurance of Sterility,Completed,1
testosterone 12,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
epinephrine hcl all strengths,20170222,Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,Terminated,1
pleo quent capsules 4x,20140303,Penicillin Cross Contamination,Terminated,1
dofetilide capsules 250 mcg,20230207,CGMP Deviations: recalling drug products following an FDA inspection.,Terminated,1
duloxetine delayed-release capsules usp,20171006,Failed Impurities/Degradation Specifications: slightly elevated levels of phthalic acid.,Terminated,1
glucagen,20220413,cGMP deviations: Temperature abuse,Terminated,1
delflex peritoneal dialysis solution with 1,20210414,Labeling; Label Mix-up; 4.25% DEXTROSE bag was found inside a 1.5% DEXTROSE box.,Terminated,1
kill,20220405,CGMP Deviations: FDA analysis found product to contain acetaldehyde above specification limits.,Terminated,1
triamcinolone acetonide cream usp,20241011,Subpotent and Superpotent Drug. Out of specification assay results recorded as part of Uniformity of Container test during long-term stability testing.,Completed,1
morphine sulfate usp milled,20180305,Microbial Contamination of Non-Sterile Products: Bioburden out of specification results for Morphine Sulfate API.,Terminated,1
atorvastatin calcium tablets,20121109,"Presence of Particulate Matter: Certain batches of Atorvastatin tablets 10 mg, 20 mg and 40 mg may contain small glass particulates.",Terminated,1
papaverine inj 30mg,20130422,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.,Terminated,1
safecare,20180720,Microbial contamination,Terminated,1
carbamazepine er tablet,20130702,"Labeling: Label Mixup; carBAMazepine ER Tablet, 200 mg may be potentially mislabeled as    ACARBOSE, Tablet, 25 mg, NDC 00054014025, Pedigree: AD60272_1, EXP: 5/22/2014.",Terminated,1
ceftriaxone for injection,20230515,Lack of Assurance of Sterility,Terminated,1
tpn 2,20150528,Lack of Assurance of Sterility: Sterility of product is not assured.,Terminated,1
progesterone,20150724,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,Terminated,1
wipeessentials wet wipes,20180402,CGMP Deviations: finished products were manufactured with poor quality water.,Terminated,1
homeopathic energy catalyst,20200917,Labeling: Product Contains Undeclared API; Incorrect formulation,Terminated,1
mustarcreme,20140807,"Does Not Meet Monograph: NEW GPC INC. has recalled multiple Over-the-Counter Drug Products due to lack of drug listing, lack of OTC drug labeling requirements and labeled Not Approved for sale in U.S.A..",Terminated,1
alprazolam xr extended-release tablets,20220428,Failed Dissolution Specifications: low out-of-specification dissolution test results observed.,Terminated,1
sn-d,20190528,Lack of Processing Controls.,Terminated,1
morphine sulfate,20211112,Lack of Assurance of Sterility,Terminated,1
methionine,20150724,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,Terminated,1
levothyroxine sodium tablets,20230206,Sub-Potent Drug: Out of specification for assay at the 24 month interval.,Terminated,1
alprazolam c-iv 1 mg 60-count bottles,20220304,CGMP Deviations: The Recall is due to the potential cross-contamination at the contract manufacturer (Ultra Tab Laboratories Inc.),Terminated,1
bupivacaine hcl-baclofen pf injectable 40mg-4000mcg,20201005,Non-Sterility,Terminated,1
bpc-157,20201130,Lack of Assurance of Sterility: due to concerns with production processes which cannot assure sterility of products intended to be sterile.,Ongoing,1
imipenem,20221227,Lack of sterility assurance,Completed,1
carifree sample boxes,20211203,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,Terminated,1
norepinephrine 16 mg added to 0,20160420,Lack of Assurance of Sterility,Terminated,1
glyburide micronized,20130702,"Labeling: Label Mixup: glyBURIDE MICRONIZED, Tablet, 3 mg may have potentially been mislabeled as the following drug:  DIGOXIN, Tablet, 0.125 mg, NDC 00115981101, Pedigree: W003154, EXP: 6/13/2014.",Terminated,1
l-tryptophan  injectable,20151016,Lack of Assurance of Sterility,Terminated,1
valsartan and hydrochlorothiazide tablets,20181204,"GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",Ongoing,1
methylcobalamin 1000 mcg,20150212,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.,Terminated,1
all alka-seltzer plus,20180315,"Labeling: Label Mix-Up: Bayer is recalling all Alka-Seltzer Plus packages, with a green or orange Bayer logo located on the lower left corner of the front of the carton, because the ingredients on the front sticker may not match the actual product in the carton.",Terminated,1
betamethasone acetate,20200115,Lack of Assurance of Sterility,Terminated,1
artri ajo king reforzado con ortiga y omega 3 tablets,20220524,Marketed Without An Unapproved NDA/ANDA: All lots were found to be unapproved drugs based on labeling claims.,Completed,1
sermorelin acetate,20160921,Lack of Assurance of Sterility,Terminated,1
trazodone hydrochloride tablets usp 100 mg,20201207,Product mix-up: Bottles of sildenafil and trazodone were inadvertently packaged together during bottling at a 3rd party facility.,Terminated,1
methylprednisolone acetate injectable suspension,20200115,Lack of Assurance of Sterility,Terminated,1
vancomycin 1,20230714,Lack of assurance of sterility. Validation data for decontamination cycles is lacking.,Terminated,1
benzalkonium chloride water for injection packaged in an amber glass injectable vial,20140827,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,1
morphine 1mg,20190619,Lack of Assurance of Sterility,Terminated,1
duloxetine delayed-release capsules usp,20171121,Failed Dissolution Specification,Terminated,1
phen 15 mg - topri 92 mg sr cap,20150212,Lack of Assurance of Sterility and Stability Data does not Support Expiry: recent inspection observations associated with certain quality control procedures that present a risk to sterility and quality assurance.,Terminated,1
pramipexole dihydrochloride tablets 0,20190821,Subpotent Drug: Out of specification result during stability study in Pramipexole Dihydrochloride Tablets 0.125 mg,Terminated,1
cyanocobalamin,20130702,"Labeling: Label Mixup:CYANOCOBALAMIN, Tablet, 500 mcg was mislabled as SEVELAMER CARBONATE, Tablet, 800 mg, NDC 58468013001, Pedigree: W002859, EXP: 6/7/2014.  and may have potentially been mislabeled as one of the following drugs:  VITAMIN B COMPLEX W/C, Tablet, 0, NDC 00536730001, Pedigree: AD52993_7, EXP: 5/20/2014;  CYANOCOBALAMIN, Tablet, 1000 mcg, NDC 00536355601, Pedigree: AD30180_22, EXP:",Terminated,1
5-fluorouracil pf in methocel 1,20131101,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
acne cystic,20200324,CGMP Deviations: These products have been found to be misbranded as  unapproved new drugs,Terminated,1
dry eye test,20210413,Subpotent Drug,Terminated,1
dodex injectable,20240618,Subpotent drug: out of specification results,Ongoing,1
spinal tray,20220413,cGMP deviations: Temperature abuse,Terminated,1
levothyroxine sodium,20130702,"Labeling: Label Mixup: LEVOTHYROXINE SODIUM, Tablet, 137 mcg may have potentially been mislabeled as the following drug:  ISONIAZID, Tablet, 300 mg, NDC 00555007102, Pedigree: AD60272_70, EXP: 5/22/2014.",Terminated,1
test cypionate 200mg,20211012,Lack of assurance of sterility,Terminated,1
neostigmine methylsulfate,20190912,Lack of Assurance of Sterility,Terminated,1
ethambutol hydrochloride tablets,20130318,Subpotent Drug: Out Of Specification results for assay at the stability time-point of 24 months.,Terminated,1
vancomycin 25mg,20160212,Lack of Assurance of Sterility,Terminated,1
papaverine,20150724,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,Terminated,1
topotecan 1,20190612,Lack of Assurance of Sterility,Terminated,1
neostigmine methylsulfate,20180411,"Lack of Assurance of Sterility:Microbial contamination was detected during routine testing of subsequent unreleased product lots due to interaction between the product syringe and tamper evident container closure, which may result in the potential introduction of microorganisms into the products.",Terminated,1
succinylcholine chloride injection,20170626,Lack of Assurance of Sterility; media fill failure at manufacturer,Terminated,1
hydroxyzine hydrochloride 25 mg,20140827,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance.",Terminated,1
pfizerpen,20140515,Lack of Assurance of Sterility; All lots of sterile products compounded by the pharmacy within expiry are subject to this recall. This recall is initiated due to concerns associated with quality control procedures observed during a recent FDA inspection.,Ongoing,1
ranitidine tablets,20180226,Failed Stability Specifications,Terminated,1
mimvey lo,20170202,Failed Impurities/Degradation Specifications: out of  specification test results for the norethindrone impurity.,Terminated,1
metoprolol tartrate tablet,20130702,"Labeling:Label Mixup; METOPROLOL TARTRATE, Tablet, 12.5 mg (1/2 of 25 mg) may be potentially mislabeled as    PIOGLITAZONE, Tablet, 15 mg, NDC 00591320530, Pedigree: AD22845_1, EXP: 4/30/2014;  LEVOTHYROXINE SODIUM, Tablet, 12.5 mcg (1/2 of 25 mcg), NDC 00527134101, Pedigree: AD73525_49, EXP: 5/30/2014.",Terminated,1
occular allergy blend 87,20210820,Out-of-specification test results obtained for identification testing based on HPTLC analysis.,Terminated,1
terazosin hydrochloride capsules,20130723,"Labeling -label error on declared strength: unopened, sealed bottle of Terazosin Hydrochloride (HCl) 10mg Capsules contained Terazosin HCl 5 mg Capsules",Terminated,1
valsartan tablets,20180814,CGMP Deviations: Carcinogen impurity detected in API used to manufacture drug product.,Terminated,1
cyanocobalamin 1000 mcg,20121204,"Non-Sterility: Green Valley Drugs received positive sterility results from their testing lab on two lots of Methylprednisolone Preservative Free 40 mg/mL injectable suspension and  one lot of Cyanocobalamin 1000 mcg/mL injection, 30 mL MDV.",Terminated,1
pyridoxine b6 100mg inj,20151019,Lack of Assurance of Sterility,Terminated,1
lidocaine hydrochloride topical solution usp 4,20211012,Superpotent Drug,Terminated,1
daytrana,20150112,Defective Delivery System: One lot exceeded the mechanical peel specification,Terminated,1
lp cream,20170210,Lack of Assurance of Sterility: There are also CGMP Deviations.,Terminated,1
custom lightening,20170210,Lack of Assurance of Sterility: There are also CGMP Deviations.,Terminated,1
poly hist forte,20130130,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,1
hcg 4,20190402,Lack of sterility assurance.,Terminated,1
np thyroid 60,20200522,Superpotent Drug.,Terminated,1
nitroglycerin all strengths,20170222,Labeling: Not Elsewhere Classified: Products may contain synthetic latex and/or natural latex.,Terminated,1
nitroglycerin transdermal system 0,20150707,Failed Impurities/Degradation Specifications: Two lots failed specification for unknown impurity at the 24 month stability testing.,Terminated,1
lipotropic,20161117,Lack of Assurance of Sterility,Ongoing,1
ear itch md anti-itch spray,20200804,cGMP Deviations.,Terminated,1
chlorpheniramine maleate 4 mg tablets,20241021,Superpotent Drug: Stability failure for assay at 6 months test time-point.,Ongoing,1
bella vi extreme accelerator dietary supplement capsules,20131010,Marketed without an Approved NDA/ANDA; product was found to contain undeclared sibutramine & phenolphthalein,Terminated,1
hydroxyprogesterone caproate oil,20150724,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry,Terminated,1
tirosint - sol,20230130,Subpotent Drug,Terminated,1
neutrogena invisible daily defense body spray sunscreen broad spectrum spf 60,20210714,cGMP Deviations,Ongoing,1
the beast,20190506,Marketed without an Approved NDA/ANDA: The Beast contains undeclared sildenafil which was discovered through FDA analysis.,Completed,1
lloyd thyro-tab 0,20130401,"cGMP deviations; After quality review of stability failures in previous lots, there is insufficient data to determine that other lots are not affected.",Terminated,1
0,20130712,Presence of particulate matter: visible free floating and partially embedded particulate matter in the glass vials.,Terminated,1
taclonex,20170116,Labeling: Incorrect or missing package insert:  the affected product was packaged with an out-of-date package insert (PI) dated February 2014.,Terminated,1
severe congestion nasal spray,20211026,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,Terminated,1
alprazolam tablets,20220215,cGMP Deviations,Terminated,1
systane zaditor,20220629,CGMP Deviations: products were stored outside the drug label specifications.,Terminated,1
hydromorphone 80 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
zemplar,20160324,Failed Content Uniformity Specifications,Terminated,1
enalapril maleate tablets,20180626,"Failed Impurities/Degradation Specifications: Sub-recall because this repackaged product was recalled by the manufacturing firm, Wockhardt, due to out-of-specification results for the Enalapril DiKetopiperazine degradation product.",Terminated,1
dexpanthenol 250 mg,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
nasal decongestant liquid,20190521,cGMP Deviations: Potential product contamination with Burkholderia cepacia (B.cepacia) and Ralstonia pickettii (R. pickettii).,Terminated,1
premium nature instant hand sanitizer,20220128,Subpotent Drug: FDA analysis has revealed some bottles of these products were sub potent for ethanol.,Ongoing,1
zinc sulfate,20181217,Lack of sterility assurance.,Terminated,1
heparin sodium in 0,20150821,Stability Data Does Not Support Expiry,Terminated,1
respitrol,20180823,"Microbial Contamination of Non Sterile Products; Products contaminated with microoganisms, including but not limited to Staphylococcus saprophyticus and Burkholderia cepacia",Terminated,1
rifampin for injection usp,20140805,Failed Impurity/Degradation Specification; high out of specification result for 23 transacetyl impurity at the 22 month stability time point,Terminated,1
toothette suction toothbrush with perox-a-mint solution and mouth moisturizer,20170822,Cross Contamination With Other Products: Oral care solutions were manufactured by a third party supplier on equipment shared with non-pharmaceutical products,Terminated,1
norepinephrine 4 mg in 250 ml sodium chloride0,20130417,Lack of Assurance of Sterility: A mold like substance was discovered on the surface of an unopened bag of Sodium Chloride 0.9% while prepping the bag for production.,Terminated,1
dextroamphetamine saccharate,20160216,Failed Impurities/Degradation Specifications: Out of specification for impurities.,Terminated,1
ketamine injection,20230502,Lack of Assurance of Sterility,Ongoing,1
medroxyprogesterone acetate injection,20130410,"Lack of Assurance of Sterility: all sterile products compounded, repackaged, and distributed by this compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.",Terminated,1
ciprofloxacin tablets,20130913,CGMP Deviations: Pharmaceuticals were produced and distributed with active ingredients not manufactured according to Good Manufacturing Practices.,Terminated,1
formula 82m,20200702,Lack of Processing Controls (lack of assurance of conformity to specifications).,Terminated,1
virginia hospital center,20141217,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,Terminated,1
major extra strength acetaminophen tablets,20200203,Presence of Foreign Tablets/Capsules: Complaint involving one Women's Prenatal dietary supplement tablet commingled in a bottle of Extra Strength Acetaminophen 500 mg contents 1000 count bottle.,Terminated,1
all triamcinolone products,20160325,Lack of Processing Controls,Terminated,1
ropinirole hydrochloride tablets,20130422,Labeling: Label Error on Declared Strength- Unopened bottles of Ropinirole USP 3 mg tablets was found to be incorrectly labeled as Ropinirole USP 4 mg tablets..,Terminated,1
aniracetam and choline,20130311,Marketed Without an Approved NDA/ANDA: The products are unapproved drugs,Terminated,1
atropine sulfate 50 mg,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
west-ward belladonna alkaloids with phenobarbital tablets,20130516,Presence of Foreign Substance: Belladonna Alkaloids with Phenobarbital Tablets with black specks comprised of degraded organic material on tablets.,Terminated,1
argatroban injection,20170706,Failed Impurities/Degradation Specifications; out of specification result for denitroquinoline-related impurity during three month time point,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
diet power,20181009,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.,Terminated,1
0,20210309,Presence of particulate matter.one confirmed  customer report of particulate matter within two semi-rigid bottles identified prior to use,Terminated,1
travasol 10,20190619,Lack of Assurance of Sterility,Terminated,1
tri-mix at-6,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
alprostadil  10mcg,20120525,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012 because FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,1
ferric carboxymaltose 750mg,20190612,Lack of Assurance of Sterility,Terminated,1
benzonatate capsules,20141126,Failed Tablet/Capsule Specifications: Recall due to wet and/or leaking capsules.,Terminated,1
testosterone 200 mg,20190523,Lack of Sterility Assurance.,Terminated,1
methylcobalamin 12,20130320,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,1
g,20140625,Marketed without an Approved NDA/ANDA; IM and SQ injectable products are being recalled because the manufacturing firm is not registered with the FDA as a drug manufacturer,Terminated,1
enalapril maleate and hydrochlorothiazide tablets usp,20150529,Failed Content Uniformity Specifications: The product may not meet the limit for blend uniformity specification.,Terminated,1
ketorolac tromethamine injection,20190430,"Lack of Sterility Assurance: Microbial growth detected during a routine simulation of the manufacturing process, which represents the potential introduction of microorganisms into the products.",Terminated,1
lidocaine hcl,20120521,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012. FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,1
msa 7,20230428,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,Completed,1
hydroxocobalamin mdv 5 mg,20130905,Lack of Assurance of Sterility: The pharmacy is recalling one lot of Hydroxocobalamin MDV 5mg/mL due to failed sterility results by a third party contract testing lab. Hence the sterility of the product cannot be assured.,Terminated,1
b-50 capsules,20130731,Marketed Without An Approved NDA/ANDA: FDA analysis of this product found it to contain undeclared steroids and steroid-like substances making this an unapproved new drug.,Terminated,1
nitrofurantoin capsules,20220503,Failed Dissolution Specifications: Nitrofurantoin Capsules recalled due to dissolution failure at 0-time of the repackaged lot. Drug release results were above specification at 0-time.,Terminated,1
estradiol cypionate 10mg,20220307,Lack of Assurance of Sterility,Ongoing,1
testosterone cypionate usp,20180209,CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,Terminated,1
tri-buffered aspirin,20130702,"Labeling: Label Mixup: TRI-BUFFERED ASPIRIN, Tablet, 325 mg may have potentially been mislabeled as the following drug:  ISOMETHEPTENE MUCATE/ DICHLORALPHENAZONE/APAP, Capsule, 65 mg/100 mg/325 mg, NDC 44183044001, Pedigree: W003596, EXP: 5/31/2014.",Terminated,1
0,20151215,Presence of Particulate Matter: Confirmed customer compliants of finding an insect floating in the primary container of each product.,Terminated,1
atorvastatin calcium tablets usp 80 mg,20230207,CGMP Deviations: recalling drug products following an FDA inspection.,Terminated,1
ultra amino blend,20161117,Lack of Assurance of Sterility,Ongoing,1
melphalan active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
leader loratadine orally disintegrating tablets,20150728,Superpotent Drug: Out Of Specification (OOS) result for Assay.,Terminated,1
tropicamide ophthalmic solution,20230426,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,Ongoing,1
equate support advanced twin pack  w-m item,20190702,Lack of Assurance of Sterility,Completed,1
quadmix,20190912,Lack of Assurance of Sterility,Terminated,1
theophylline,20200306,"CGMP Deviations: poor manufacturing practices resulted in Labeling: Incorrect or Missing Lot and/or Exp Date, product incorrectly labeled with incorrect lot and expiration date.",Terminated,1
dronedarone hcl,20130702,"Labeling: Label Mixup: DRONEDARONE HCL, Tablet, 400 mg may be potentially as the following drug:  METHYLERGONOVINE MALEATE, Tablet, 0.2 mg, NDC 43386014028, Pedigree: AD52778_40, EXP: 5/20/2014.",Terminated,1
nabumetone,20130702,"Labeling: Label Mixup: NABUMETONE, Tablet, 500 mg may have potentially been mislabeled as the following drug:  guaiFENesin ER, Tablet, 600 mg, NDC 63824000834, Pedigree: AD46429_1, EXP: 5/15/2014.",Terminated,1
bac 160mcg,20191220,Lack of sterility assurance.,Terminated,1
acetaminophen,20130702,"Labeling: Label Mixup: ACETAMINOPHEN, CHEW Tablet, 80 mg may have potentially been mislabeled as one of the following drugs:  BENAZEPRIL HCL, Tablet, 40 mg, NDC 65162075410, Pedigree: AD49423_1, EXP: 5/16/2014;  ASCORBIC ACID, Tablet, 250 mg, NDC 00904052260, Pedigree: W003101, EXP: 6/13/2014;  OMEGA-3 FATTY ACID, Capsule, 1000 mg, NDC 40985022921, Pedigree: AD30028_1, EXP: 5/8/2014;  TACROLIMUS,",Terminated,1
net remedies,20180720,Microbial contamination,Terminated,1
phenytoin sodium er,20130702,"Labeling: Label Mixup: PHENYTOIN SODIUM ER, Capsule, 30 mg may have potentially been mislabeled as the following drug:  LITHIUM CARBONATE ER, Tablet, 450 mg, NDC 00054002025, Pedigree: W003327, EXP: 6/19/2014.",Terminated,1
dextrose 50,20151019,Lack of Assurance of Sterility,Terminated,1
piperacillin and tazobactam for injection,20230515,Lack of Assurance of Sterility,Terminated,1
sermorelin,20190912,Lack of Assurance of Sterility,Terminated,1
baclofen usp,20180209,CGMP Deviations: Lack of stability data and controls to support the manufacturers assigned retest or expiration date in firm's container/closure system.,Terminated,1
lac-hydrin,20121227,Crystallization: Recall is due to a non-characteristic gritty/sandy texture to the product which is likely due to some crystallization of the product.,Terminated,1
scopolamine 0,20131101,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
b-complex 100 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
metformin hcl extended-release tablets,20210325,Failed Moisture Limits: Out of specification for water content,Terminated,1
rizatriptan benzoate orally disintegrating tablets 10mg,20211018,Out-of-specification test results obtained in Organic Impurities test during analysis of controlled samples.,Terminated,1
hydrocodone bitartrate and acetaminophen tablets usp,20120921,Superpotent (Multiple Ingredient) Drug: There is the potential for oversized and superpotent tablets.,Terminated,1
phenylephrine hcl 60 mg in 0,20170714,Lack of Assurance of Sterility; product has the potential to leak.,Terminated,1
methylprednisolone 40mg w,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
dutasteride capsules,20200107,Failed Impurities/Degradation Specifications: High out of specification results for related compounds.,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
tobramycin opth soln 13mg,20130422,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.,Terminated,1
ion,20230929,Microbial contamination of Non-Sterile Products,Terminated,1
flurandrenolide tape,20150414,Subpotent Drug: Flurandrenolide is subpotent.,Terminated,1
chlorothiazide 100 mg,20190412,Lack of sterility assurance.,Terminated,1
klonopin,20180205,"Labeling: Not Elsewhere Classified: Schedule IV controlled substance indicator of CIV being omitted  from the product carton, primary label is correct.",Terminated,1
elcys,20231018,Presence of Particulate Matter: Silicone,Ongoing,1
calcitriol injection 1 mcg,20230426,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,Ongoing,1
triamcinolone acetonide ointment usp,20220315,cGMP deviations: all products within expiry are being recalled because the firm is discontinuing its stability study program.,Terminated,1
daptomycin for injection 350 mg,20221129,Labeling mixup: cartons labeled as Daptomycin 350 mg/vial were found to contain vials of Daptomycin 500 mg per vial,Terminated,1
semaglutide,20220307,Lack of Assurance of Sterility,Ongoing,1
armour thyroid,20220126,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,Terminated,1
morphine pf,20150912,Lack of Assurance of Sterility; The firm is recalling all sterile preparations that are within expiry due to deficient practices which may have an impact on sterility assurance.,Terminated,1
tasigna capsules 150 mg ndc 00078-0592-87 28 days supply,20180403,Lack of Processing Controls.,Terminated,1
ketorolac tromethamine injection,20200420,Presence of Particulate Matter - found in reserve sample vials at the firm.,Terminated,1
stalevo,20130808,"Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves.",Terminated,1
northstar zolpidem tartrate tablets usp 10 mg,20120309,Adulterated Presence of Foreign Tablets: This product is being recalled becaiuse 30 valacyclovir hydrochloride tablets USP 500 mg were discovered in a bottle labeled Zolpidem Tartrate tables USP 10 mg,Terminated,1
