drug_name,recall_initiation_date,reason_for_recall,status,recalled
hydroxyprogesterone caproate,20141006,Lack of Sterility Assurance: All lots of sterile products compounded by the pharmacy that are not expired due to concerns associated with quality control procedures that present a potential risk to sterility assurance that were observed during a recent FDA inspection.,Terminated,1
epinephrine added to dextrose 5,20230817,Lack of Assurance of Sterility:Lack of validation data for sanitization cycles,Terminated,1
m,20160513,Lack of Assurance of Sterility,Terminated,1
japan weight loss blue capsules,20120223,Marketed Without an Approved ANDA/NDA: presence of sibutramine,Terminated,1
phenylephrine hcl 5000 mcg,20231109,Lack of Assurance of Sterility,Terminated,1
succinylcholine chloride 100 mg,20210730,Lack of sterility assurance,Terminated,1
l-glutamine 100mg,20170815,Lack of Assurance of Sterility.,Terminated,1
zhonghua niubian tablets,20170307,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.",Terminated,1
trimix  customs injectable  balanced solutions,20130417,"Lack of Assurance of Sterility:All sterile products compounded, repackaged, and distributed by this  compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes.",Terminated,1
methylcobalamin 10mg,20170815,Lack of Assurance of Sterility.,Terminated,1
alprostadil 20 mcg,20160921,Lack of Assurance of Sterility,Terminated,1
bevacizumab,20190830,Lack of assurance of sterility.,Terminated,1
papaverine-phentolamine-pge1 17,20190221,Lack of Processing Controls: Insanitary conditions observed during compounding of sterile drugs during recent FDA Inspection.,Terminated,1
simvastatin tablets,20190729,Labeling; Incorrect or Missing Lot and/or Exp Date; some bottles labeled with lot number 05318054B instead of 05318034B,Terminated,1
adcetris 96 mg,20190612,Lack of Assurance of Sterility,Terminated,1
neocitran extra strength cold,20130618,Presence of Foreign Substance: The products are being recalled because they may contain foreign substances.,Terminated,1
edema off,20200324,CGMP Deviations: These products have been found to be misbranded as  unapproved new drugs,Terminated,1
tramadol hydrochloride tablets,20230616,Packaging defect: blister packaging inadequately sealed.,Terminated,1
glutathione l reduced 100mg,20221222,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,Terminated,1
diclofenac sodium and misoprostol delayed-release tablets,20130322,Failed Tablet/Capsule Specifications: Broken tablets,Terminated,1
cetirizine hydrochloride tablets,20250313,CGMP Deviations,Ongoing,1
dr,20180720,Microbial contamination,Terminated,1
phenylephrine hcl in 0,20170714,Lack of Sterility Assurance.,Terminated,1
maximum strength,20140411,"Presence of Precipitate; white substance confirmed as Guaifenesin, an active ingredient was observed in some bottles.",Terminated,1
all potassium bromide products,20160325,Lack of Processing Controls,Terminated,1
morphine sulfate,20150717,Stability Data Does Not Support Expiry: potential loss of potency in drugs packaged and stored in syringes.,Terminated,1
estriol micronized,20170324,cGMP Deviations; lack of quality assurance.,Terminated,1
coenzyme q-10,20130702,"Labeling: Label Mixup; COENZYME Q-10 Capsule, 100 mg may be potentially mislabeled as    ASPIRIN EC, Tablet, 325 mg, NDC 00904201360, Pedigree: AD30180_13, EXP: 5/9/2014;  ASPIRIN, Chew Tablet, 81 mg, NDC 00536329736, Pedigree: AD33897_1, EXP: 5/9/2014;  TACROLIMUS, Capsule, 1 mg, NDC 00781210301, Pedigree: AD37056_1, EXP: 5/10/2014;  METOPROLOL TARTRATE, Tablet, 12.5 mg (1/2 of 25 mg), NDC 576640",Terminated,1
levofloxacin injection 500mg,20230426,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,Ongoing,1
tobramycin 1,20120521,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012. FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,1
cymevene 500 mg powder for infusion,20120905,Lack of Assurance of Sterility; container closure issues with the bulk batch.,Terminated,1
hcg chorionic gonadotropin,20130325,Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance,Terminated,1
prosirona,20221212,cGMP Deviations,Terminated,1
test cyp 50 mg-estradiol blend 22 mg,20130320,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Terminated,1
cpm,20130130,CGMP Deviations: Products are underdosed or have an incorrect dosage regime.,Terminated,1
dippin,20190401,CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.,Terminated,1
paliperidone extended-release tablets,20160212,Failed Dissolution Specifications; three month stability time point.,Terminated,1
diphenylcyclopropenone active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
ponstel,20170524,Failed Dissolution Specifications: Low dissolution results were obtained during stability testing,Terminated,1
clobetasol propionate cream,20230426,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,Ongoing,1
infants aqueous vitamin d oral drops 400 iu,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
moxifloxacin preservative free syr,20221007,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,Ongoing,1
estradiol cyp,20130726,Lack of Assurance of Sterility; FDA inspectional findings resulted in concerns associated with quality control procedures that impacted sterility assurance,Terminated,1
detoxin-s,20200324,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,Terminated,1
diphenhydramine 25 mg,20190612,Lack of Assurance of Sterility,Terminated,1
depo-testadiiol,20130528,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.,Terminated,1
