drug_name,serious,seriousnessdeath,num_reactions
crestor,3,0,2.5
cubicin,2,2,1.0
cyanocobalamin,1,0,16.0
cyclophosphamide,8,4,5.0
cyclophosphamide.,1,0,1.0
cymbalta,7,0,5.8
cytarabine,1,1,4.0
d-cure,1,0,6.0
dafalgan,2,0,2.5
daily multivitamin,2,0,1.0
dapsone,1,0,4.0
darunavir,1,0,2.0
darvocet-n 100,1,0,8.0
denzapine,1,0,3.0
depakene,7,0,15.333333333333334
depakene-r (valproate sodium),1,0,1.0
depakine,2,0,3.0
depakote,248,3,3.185185185185185
depakote er,11,0,9.166666666666666
depakote sprinkle,2,0,2.0
deso 30,1,0,4.0
dexamethasone,6,0,3.5
dexamethasone.,4,0,3.0
dexedrine,2,0,1.0
dexilant,2,0,1.0
dexketoprofen,2,0,2.0
dextroamphetamine sulfate,1,0,1.0
diabetes medication,4,0,5.0
diamox,1,0,2.0
dianeal low calcium,31,6,2.3703703703703702
dianeal low calcium (ultrabag),11,2,3.4545454545454546
dianeal low calcium peritoneal dialysis solution with dextrose,6,0,4.0
dianeal pd2,2,0,3.0
dianeal pd2 (ultrabag),1,0,2.0
dianeal pd2 with 1.5% dextrose,2,2,1.0
dianeal pd2 with 4.25% dextrose,2,2,1.0
dianeal pd4 solution with 1.5% dextrose and 2.5 meq/l calcium,1,0,2.0
dianeal-n pd-4 1.5 pd solution,1,1,1.0
diaprel,1,0,1.0
diazepam,2,1,3.5
dicyclomine,2,0,3.0
didrocal,2,0,1.0
dilantin,6,0,1.75
diltiazem,6,0,5.5
diovan,9,1,4.142857142857143
diovan hct,1,0,4.0
diphenhydramine,13,13,1.0769230769230769
dipyridamole.,1,0,1.0
divalproex sodium,6,0,4.5
docetaxel,3,0,13.0
docetaxel (unknown),1,0,1.0
doliprane,2,0,1.0
donepezil,1,0,5.0
donepezil (unknown),1,0,5.0
doxazosin,2,0,2.5
doxazosin (unknown),1,0,1.0
doxorubicin,1,0,2.0
doxorubicin teva,1,0,3.0
doxycycline,1,0,1.0
doxycycline hyclate,2,0,1.0
duragesic,2,0,2.0
duragesic-100,1,1,2.0
durateston,1,0,11.0
durotep mt,3,1,1.0
dutasteride,1,0,4.0
ecotrin,1,0,6.0
effexor,4,0,4.5
effexor xr,16,0,4.2
elleste solo,1,0,1.0
eloquis,2,0,5.0
emconcor,1,0,6.0
enalapril,3,0,4.333333333333333
enalapril maleate,1,0,7.0
enapren,1,0,1.0
enbrel,1,0,1.0
endoxan,1,0,3.0
enoxaparin,1,0,1.0
entacapone,1,0,10.0
epamin,1,0,20.0
epival,2,0,1.0
epogen,2,0,1.0
epoprostenol.,2,0,3.0
erbitux soln for inf 5mg/ml,2,0,17.0
ergenyl,1,0,19.0
erythromycin.,1,0,15.0
esomeprazole,2,0,5.0
estring,2,0,1.0
etoposide,13,13,1.0769230769230769
eupressyl,1,0,1.0
everolimus,2,0,3.0
evista,2,0,1.0
evitol,1,0,1.0
exelon patch,2,0,4.0
exemestane,1,0,2.0
exjade,6,4,1.1666666666666667
extavia,2,0,3.0
extraneal,4,2,2.75
famotidine,2,0,9.0
fanapt,1,0,2.0
"feiba 500 u injektio/infuusiokuiva-aine ja liuotin, liuosta varten",2,0,3.0
felbamate,1,1,5.0
femara,3,0,3.0
fenofibrate,3,0,1.5
fentanilo//fentanyl,1,0,3.0
fentanyl citrate,1,1,3.0
fentanyl patch,1,1,1.0
fentanyl patches,1,0,7.0
fentanyl.,2,0,2.0
ferrlecit,2,0,1.0
ferro sequels,1,0,1.0
fetzima,2,0,1.0
finasteride,6,0,3.6666666666666665
fioricet,2,0,2.5
fiorinal,2,0,1.0
firazyr,1,0,5.0
fish oil,17,0,4.222222222222222
fish oil - vitamin d3,1,0,2.0
flagyl,1,0,8.0
flax seed oil,1,0,2.0
flaxseed,1,0,12.0
flexeril,4,0,4.75
flexeril                           /00428402/,2,0,1.0
