drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
,0,0,12,Unknown
,0,0,18,Unknown
loratadine,0,0,30,CVS Pharmacy
,0,62,132,Unknown
cisplatin,1,42,137,Sagent Pharmaceuticals
aspirin,0,0,48,"P & L Development, LLC"
"octinoxate, oxybenzone",0,0,4,Amway Corp
,0,114,163,Unknown
hydrocodone bitartrate and acetaminophen,1,60,94,"Northwind Pharmaceuticals, LLC"
,1,121,218,Unknown
,0,0,36,Unknown
menthol,0,0,16,WalMart
magnesium hydroxide,0,0,14,Strategic Sourcing Services LLC
,0,0,29,Unknown
,0,0,54,Unknown
,1,151,379,Unknown
,0,0,30,Unknown
nicotine polacrilex,0,0,11,Dr. Reddy's Laboratories Inc.
,0,0,5,Unknown
pyrithione zinc,0,0,8,The Procter & Gamble Manufacturing Company
,1,22,70,Unknown
pyrithione zinc,0,0,8,The Procter & Gamble Manufacturing Company
,0,0,24,Unknown
,0,0,5,Unknown
,0,0,41,Unknown
bismuth subsalicylate,0,0,17,Proficient Rx LP
amlodipine besylate,0,21,572,"Lupin Pharmaceuticals, Inc."
,0,16,500,Unknown
,0,0,6,Unknown
sunscreen,0,0,37,"Swiss-American CDMO, LLC"
,0,0,30,Unknown
,0,0,20,Unknown
aluminium phosphoricum,0,0,0,"Hahnemann Laboratories, INC."
,0,0,14,Unknown
,0,66,17,Unknown
,0,0,11,Unknown
perphenazine,1,114,45,Zydus Lifesciences Limited
,0,0,11,Unknown
,0,0,49,Unknown
,0,0,96,Unknown
,0,0,9,Unknown
,0,42,86,Unknown
aluminum sesquichlorohydrate,0,0,4,"A.P. Deauville, LLC"
naproxen,1,146,131,Bryant Ranch Prepack
,0,0,5,Unknown
"polyethylene glycol 400, propylene glycol",0,0,14,Strategic Sourcing Services LLC
,0,0,25,Unknown
,0,0,36,Unknown
,0,0,22,Unknown
"glycerin, naphazoline hcl",0,0,40,Strategic Sourcing Services LLC
,1,243,218,Unknown
,0,0,26,Unknown
"acetaminophen, dextromethorphan hbr, phenylephrine hcl",0,0,31,Family Dollar (FAMILY WELLNESS)
,1,36,731,Unknown
,0,0,34,Unknown
,0,0,5,Unknown
rivastigmine tartrate,0,107,70,Alembic Pharmaceuticals Inc.
